Gen,MeanFit,StdFit,MaxFit
0,+4354.936,+675.321,+5500.751,+0.443,+0.441,+3.085
1,+4493.820,+556.368,+5358.313,+0.289,+0.150,+1.695
2,+4580.113,+566.449,+5379.426,+0.280,+0.106,+1.216
3,+4584.758,+602.544,+5643.437,+0.285,+0.085,+0.975
4,+4657.458,+486.522,+5648.809,+0.293,+0.063,+0.838
5,+4558.553,+489.223,+5376.521,+0.296,+0.053,+0.746
6,+4377.671,+507.155,+5421.451,+0.286,+0.048,+0.677
7,+4317.050,+616.714,+5448.012,+0.296,+0.051,+0.629
8,+4373.562,+565.696,+5533.579,+0.297,+0.045,+0.592
9,+4544.973,+554.773,+5536.776,+0.302,+0.044,+0.561
10,+4531.680,+565.753,+5496.015,+0.307,+0.047,+0.535
11,+4426.391,+532.284,+5483.769,+0.298,+0.041,+0.512
12,+4534.703,+537.948,+5640.758,+0.302,+0.043,+0.500
13,+4504.398,+573.194,+5513.133,+0.298,+0.037,+0.486
14,+4476.527,+562.239,+5369.346,+0.292,+0.036,+0.471
15,+4449.736,+526.635,+5402.813,+0.296,+0.040,+0.506
16,+4388.018,+557.596,+5484.683,+0.284,+0.027,+0.399
17,+4363.249,+526.937,+5478.850,+0.286,+0.034,+0.491
18,+4371.275,+530.209,+5401.845,+0.294,+0.029,+0.405
19,+4402.961,+666.073,+5452.765,+0.297,+0.037,+0.504
20,+4557.830,+570.461,+5517.567,+0.292,+0.027,+0.422
21,+4486.965,+597.138,+5459.152,+0.296,+0.035,+0.406
22,+4356.606,+507.053,+5402.307,+0.290,+0.032,+0.422
23,+4358.753,+548.013,+5389.102,+0.291,+0.030,+0.382
24,+4371.468,+557.724,+5599.886,+0.292,+0.033,+0.453
25,+4435.994,+545.840,+5321.364,+0.291,+0.031,+0.417
26,+4377.227,+574.416,+5419.652,+0.294,+0.031,+0.396
27,+4536.408,+542.754,+5451.949,+0.291,+0.031,+0.384
28,+4348.311,+581.468,+5454.400,+0.303,+0.042,+0.541
29,+4296.873,+600.601,+5416.655,+0.300,+0.036,+0.466
30,+4334.950,+578.582,+5461.387,+0.296,+0.042,+0.460
31,+4333.883,+613.492,+5464.748,+0.300,+0.034,+0.421
32,+4352.802,+574.039,+5405.922,+0.293,+0.026,+0.395
33,+4534.334,+565.470,+5524.843,+0.294,+0.029,+0.412
34,+4500.023,+538.318,+5350.551,+0.284,+0.027,+0.373
35,+4420.664,+579.467,+5473.785,+0.293,+0.029,+0.410
36,+4615.729,+569.169,+5556.116,+0.297,+0.036,+0.476
37,+4598.514,+581.710,+5516.680,+0.303,+0.036,+0.475
38,+4467.180,+527.564,+5494.479,+0.299,+0.038,+0.449
39,+4548.141,+576.868,+5500.705,+0.296,+0.033,+0.388
40,+4439.262,+527.568,+5426.358,+0.296,+0.029,+0.394
41,+4416.328,+558.252,+5437.400,+0.300,+0.031,+0.464
42,+4441.400,+573.293,+5528.480,+0.295,+0.035,+0.445
43,+4486.235,+567.697,+5688.151,+0.294,+0.034,+0.423
44,+4569.562,+532.108,+5449.859,+0.299,+0.032,+0.426
45,+4537.285,+512.430,+5426.466,+0.298,+0.032,+0.430
46,+4352.404,+538.053,+5397.191,+0.289,+0.030,+0.384
47,+4492.569,+566.800,+5473.612,+0.287,+0.031,+0.413
48,+4410.881,+535.658,+5473.612,+0.290,+0.032,+0.396
49,+4316.945,+544.649,+5397.231,+0.286,+0.025,+0.383
50,+4413.231,+518.726,+5356.126,+0.290,+0.024,+0.373
51,+4468.368,+510.064,+5415.939,+0.297,+0.031,+0.431
52,+4603.212,+553.283,+5341.470,+0.294,+0.030,+0.456
53,+4550.120,+592.573,+5428.252,+0.289,+0.030,+0.419
54,+4573.302,+603.456,+5508.912,+0.289,+0.025,+0.389
55,+4591.906,+590.930,+5493.368,+0.285,+0.025,+0.368
56,+4522.059,+585.269,+5417.516,+0.296,+0.038,+0.456
57,+4489.967,+606.117,+5521.005,+0.298,+0.044,+0.542
58,+4494.492,+556.051,+5416.844,+0.303,+0.038,+0.514
59,+4383.506,+570.346,+5492.478,+0.306,+0.040,+0.465
60,+4480.109,+574.814,+5485.144,+0.298,+0.042,+0.476
61,+4473.248,+587.478,+5520.785,+0.303,+0.039,+0.468
62,+4476.207,+469.170,+5417.737,+0.301,+0.038,+0.414
63,+4391.575,+499.715,+5489.130,+0.293,+0.030,+0.392
64,+4424.506,+545.157,+5523.990,+0.295,+0.032,+0.397
65,+4477.095,+521.207,+5550.978,+0.286,+0.026,+0.385
66,+4461.793,+523.319,+5369.525,+0.284,+0.027,+0.383
67,+4487.410,+534.462,+5364.417,+0.289,+0.035,+0.434
68,+4484.920,+554.111,+5375.531,+0.286,+0.027,+0.400
69,+4374.402,+557.111,+5316.293,+0.287,+0.029,+0.425
70,+4546.520,+518.177,+5423.243,+0.300,+0.038,+0.543
71,+4520.300,+601.159,+5567.679,+0.291,+0.034,+0.424
72,+4659.316,+567.182,+5532.745,+0.292,+0.032,+0.491
73,+4504.364,+595.932,+5598.488,+0.302,+0.043,+0.553
74,+4501.033,+562.008,+5399.703,+0.300,+0.033,+0.419
75,+4411.603,+559.346,+5397.103,+0.287,+0.031,+0.471
76,+4451.137,+576.425,+5431.964,+0.285,+0.031,+0.501
77,+4414.198,+553.279,+5440.875,+0.277,+0.029,+0.420
78,+4321.988,+536.430,+5385.097,+0.282,+0.027,+0.394
79,+4378.485,+558.183,+5463.712,+0.286,+0.026,+0.362
80,+4526.073,+505.968,+5361.246,+0.289,+0.027,+0.371
81,+4346.668,+555.015,+5395.210,+0.288,+0.031,+0.425
82,+4343.649,+525.834,+5376.506,+0.293,+0.031,+0.410
